200      GET       32l       55w      700c https://10.129.96.140/
301      GET        2l       10w      159c https://10.129.96.140/aspnet_client => https://10.129.96.140/aspnet_client/
302      GET        3l        8w      157c https://10.129.96.140/remote => /Remote/default.aspx?ReturnUrl=%2fremote
302      GET        3l        8w      157c https://10.129.96.140/Remote => /Remote/default.aspx?ReturnUrl=%2fRemote
301      GET        2l       10w      159c https://10.129.96.140/Aspnet_client => https://10.129.96.140/Aspnet_client/
301      GET        2l       10w      149c https://10.129.96.140/mvc => https://10.129.96.140/mvc/
301      GET        2l       10w      157c https://10.129.96.140/mvc/scripts => https://10.129.96.140/mvc/scripts/
301      GET        2l       10w      156c https://10.129.96.140/mvc/images => https://10.129.96.140/mvc/images/
301      GET        2l       10w      157c https://10.129.96.140/mvc/account => https://10.129.96.140/mvc/account/
301      GET        2l       10w      157c https://10.129.96.140/mvc/content => https://10.129.96.140/mvc/content/
301      GET        2l       10w      157c https://10.129.96.140/mvc/Scripts => https://10.129.96.140/mvc/Scripts/
301      GET        2l       10w      156c https://10.129.96.140/mvc/Images => https://10.129.96.140/mvc/Images/
301      GET        2l       10w      164c https://10.129.96.140/mvc/content/themes => https://10.129.96.140/mvc/content/themes/
200      GET        1l      182w     7579c https://10.129.96.140/mvc/content/css
200      GET      151l      281w     9902c https://10.129.96.140/mvc/
301      GET        2l       10w      157c https://10.129.96.140/mvc/Account => https://10.129.96.140/mvc/Account/
301      GET        2l       10w      157c https://10.129.96.140/mvc/Content => https://10.129.96.140/mvc/Content/
200      GET        1l      182w     7579c https://10.129.96.140/mvc/Content/css
301      GET        2l       10w      164c https://10.129.96.140/mvc/Content/themes => https://10.129.96.140/mvc/Content/themes/
301      GET        2l       10w      153c https://10.129.96.140/mvc/obj => https://10.129.96.140/mvc/obj/
301      GET        2l       10w      160c https://10.129.96.140/mvc/properties => https://10.129.96.140/mvc/properties/
301      GET        2l       10w      160c https://10.129.96.140/mvc/Properties => https://10.129.96.140/mvc/Properties/
301      GET        2l       10w      156c https://10.129.96.140/mvc/IMAGES => https://10.129.96.140/mvc/IMAGES/
301      GET        2l       10w      159c https://10.129.96.140/aspnet_Client => https://10.129.96.140/aspnet_Client/
301      GET        2l       10w      157c https://10.129.96.140/mvc/SCRIPTS => https://10.129.96.140/mvc/SCRIPTS/
301      GET        2l       10w      159c https://10.129.96.140/ASPNET_CLIENT => https://10.129.96.140/ASPNET_CLIENT/
301      GET        2l       10w      157c https://10.129.96.140/mvc/CONTENT => https://10.129.96.140/mvc/CONTENT/
200      GET        1l      182w     7579c https://10.129.96.140/mvc/CONTENT/css
301      GET        2l       10w      164c https://10.129.96.140/mvc/CONTENT/themes => https://10.129.96.140/mvc/CONTENT/themes/
301      GET        2l       10w      153c https://10.129.96.140/mvc/Obj => https://10.129.96.140/mvc/Obj/
