"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Exploits"
"20210923","CVE-2021-38632","5005568","BitLocker Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20210923","CVE-2021-38632","5005568","BitLocker Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20210923","CVE-2021-38632","5005568","BitLocker Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20210923","CVE-2021-38632","5005568","BitLocker Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20231212","CVE-2023-36696","5033371","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-36696","5033371","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-36696","5033371","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-36696","5033371","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210112","CVE-2021-1678","5005568","Windows Print Spooler Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20210112","CVE-2021-1678","5005568","Windows Print Spooler Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20210112","CVE-2021-1678","5005568","Windows Print Spooler Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20210112","CVE-2021-1678","5005568","Windows Print Spooler Spoofing Vulnerability","Windows Server 2019","Microsoft","Important","Spoofing",""
"20230818","CVE-2023-24936","5027536",".NET, .NET Framework, and Visual Studio Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Moderate","Elevation of Privilege",""
"20230818","CVE-2023-24936","5027536",".NET, .NET Framework, and Visual Studio Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Moderate","Elevation of Privilege",""
"20230818","CVE-2023-24936","5027536",".NET, .NET Framework, and Visual Studio Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019","Microsoft","Moderate","Elevation of Privilege",""
"20230818","CVE-2023-24936","5027536",".NET, .NET Framework, and Visual Studio Elevation of Privilege Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019","Microsoft","Moderate","Elevation of Privilege",""
"20231114","CVE-2023-36401","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36401","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36401","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36401","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36033","5032196","Windows DWM Core Library Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36033","5032196","Windows DWM Core Library Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36033","5032196","Windows DWM Core Library Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36033","5032196","Windows DWM Core Library Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36966","5005568","Windows Subsystem for Linux Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36966","5005568","Windows Subsystem for Linux Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36966","5005568","Windows Subsystem for Linux Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36966","5005568","Windows Subsystem for Linux Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231122","CVE-2023-36025","5032196","Windows SmartScreen Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20231122","CVE-2023-36025","5032196","Windows SmartScreen Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20231122","CVE-2023-36025","5032196","Windows SmartScreen Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20231122","CVE-2023-36025","5032196","Windows SmartScreen Security Feature Bypass Vulnerability","Windows Server 2019","Microsoft","Important","Security Feature Bypass",""
"20210914","CVE-2021-36958","5005568","Windows Print Spooler Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20210914","CVE-2021-36958","5005568","Windows Print Spooler Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20210914","CVE-2021-36958","5005568","Windows Print Spooler Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20210914","CVE-2021-36958","5005568","Windows Print Spooler Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20220816","CVE-2021-40444","5005568","Microsoft MSHTML Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution","http://packetstormsecurity.com/files/164210/Microsoft-Windows-MSHTML-Overview.html, http://packetstormsecurity.com/files/165214/Microsoft-Office-Word-MSHTML-Remote-Code-Execution.html, http://packetstormsecurity.com/files/167317/Microsoft-Office-MSDT-Follina-Proof-Of-Concept.html"
"20220816","CVE-2021-40444","5005568","Microsoft MSHTML Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution","http://packetstormsecurity.com/files/164210/Microsoft-Windows-MSHTML-Overview.html, http://packetstormsecurity.com/files/165214/Microsoft-Office-Word-MSHTML-Remote-Code-Execution.html, http://packetstormsecurity.com/files/167317/Microsoft-Office-MSDT-Follina-Proof-Of-Concept.html"
"20220816","CVE-2021-40444","5005568","Microsoft MSHTML Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution","http://packetstormsecurity.com/files/164210/Microsoft-Windows-MSHTML-Overview.html, http://packetstormsecurity.com/files/165214/Microsoft-Office-Word-MSHTML-Remote-Code-Execution.html, http://packetstormsecurity.com/files/167317/Microsoft-Office-MSDT-Follina-Proof-Of-Concept.html"
"20220816","CVE-2021-40444","5005568","Microsoft MSHTML Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution","http://packetstormsecurity.com/files/164210/Microsoft-Windows-MSHTML-Overview.html, http://packetstormsecurity.com/files/165214/Microsoft-Office-Word-MSHTML-Remote-Code-Execution.html, http://packetstormsecurity.com/files/167317/Microsoft-Office-MSDT-Follina-Proof-Of-Concept.html"
"20231116","CVE-2023-36423","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231116","CVE-2023-36423","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231116","CVE-2023-36423","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231116","CVE-2023-36423","5032196","Microsoft Remote Registry Service Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36047","5032196","Windows Authentication Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36047","5032196","Windows Authentication Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36047","5032196","Windows Authentication Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36047","5032196","Windows Authentication Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20200512","CVE-2020-0646","4535101",".NET Framework Remote Code Execution Injection Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution","http://packetstormsecurity.com/files/156930/SharePoint-Workflows-XOML-Injection.html"
"20200512","CVE-2020-0646","4535101",".NET Framework Remote Code Execution Injection Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution","http://packetstormsecurity.com/files/156930/SharePoint-Workflows-XOML-Injection.html"
"20200512","CVE-2020-0646","4535101",".NET Framework Remote Code Execution Injection Vulnerability","Microsoft .NET Framework 3.5 AND 4.8 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution","http://packetstormsecurity.com/files/156930/SharePoint-Workflows-XOML-Injection.html"
"20200512","CVE-2020-0646","4535101",".NET Framework Remote Code Execution Injection Vulnerability","Microsoft .NET Framework 3.5 AND 4.7.2 on Windows Server 2019",".NET Framework","Critical","Remote Code Execution","http://packetstormsecurity.com/files/156930/SharePoint-Workflows-XOML-Injection.html"
"20210923","CVE-2021-36963","5005568","Windows Common Log File System Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36963","5005568","Windows Common Log File System Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36963","5005568","Windows Common Log File System Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20210923","CVE-2021-36963","5005568","Windows Common Log File System Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36393","5032196","Windows User Interface Application Core Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36393","5032196","Windows User Interface Application Core Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36393","5032196","Windows User Interface Application Core Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36393","5032196","Windows User Interface Application Core Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Important","Remote Code Execution",""
"20231114","CVE-2023-36036","5032196","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36036","5032196","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36036","5032196","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231114","CVE-2023-36036","5032196","Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability","Windows Server 2019","Microsoft","Important","Elevation of Privilege",""
"20231212","CVE-2023-35630","5033371","Internet Connection Sharing (ICS) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Critical","Remote Code Execution",""
"20231212","CVE-2023-35630","5033371","Internet Connection Sharing (ICS) Remote Code Execution Vulnerability","Windows Server 2019","Microsoft","Critical","Remote Code Execution",""
