200      GET       32l       55w      700c http://10.129.96.140/
301      GET        2l       10w      158c http://10.129.96.140/aspnet_client => http://10.129.96.140/aspnet_client/
302      GET        3l        8w      157c http://10.129.96.140/remote => /Remote/default.aspx?ReturnUrl=%2fremote
302      GET        3l        8w      157c http://10.129.96.140/Remote => /Remote/default.aspx?ReturnUrl=%2fRemote
301      GET        2l       10w      158c http://10.129.96.140/Aspnet_client => http://10.129.96.140/Aspnet_client/
301      GET        2l       10w      148c http://10.129.96.140/mvc => http://10.129.96.140/mvc/
301      GET        2l       10w      155c http://10.129.96.140/mvc/images => http://10.129.96.140/mvc/images/
301      GET        2l       10w      156c http://10.129.96.140/mvc/scripts => http://10.129.96.140/mvc/scripts/
301      GET        2l       10w      156c http://10.129.96.140/mvc/account => http://10.129.96.140/mvc/account/
301      GET        2l       10w      156c http://10.129.96.140/mvc/content => http://10.129.96.140/mvc/content/
301      GET        2l       10w      156c http://10.129.96.140/mvc/Scripts => http://10.129.96.140/mvc/Scripts/
301      GET        2l       10w      155c http://10.129.96.140/mvc/Images => http://10.129.96.140/mvc/Images/
301      GET        2l       10w      163c http://10.129.96.140/mvc/content/themes => http://10.129.96.140/mvc/content/themes/
200      GET        1l      182w     7579c http://10.129.96.140/mvc/content/css
200      GET      151l      281w     9902c http://10.129.96.140/mvc/
301      GET        2l       10w      156c http://10.129.96.140/mvc/Account => http://10.129.96.140/mvc/Account/
301      GET        2l       10w      156c http://10.129.96.140/mvc/Content => http://10.129.96.140/mvc/Content/
200      GET        1l      182w     7579c http://10.129.96.140/mvc/Content/css
301      GET        2l       10w      163c http://10.129.96.140/mvc/Content/themes => http://10.129.96.140/mvc/Content/themes/
301      GET        2l       10w      152c http://10.129.96.140/mvc/obj => http://10.129.96.140/mvc/obj/
301      GET        2l       10w      159c http://10.129.96.140/mvc/properties => http://10.129.96.140/mvc/properties/
301      GET        2l       10w      159c http://10.129.96.140/mvc/Properties => http://10.129.96.140/mvc/Properties/
301      GET        2l       10w      155c http://10.129.96.140/mvc/IMAGES => http://10.129.96.140/mvc/IMAGES/
301      GET        2l       10w      158c http://10.129.96.140/aspnet_Client => http://10.129.96.140/aspnet_Client/
301      GET        2l       10w      156c http://10.129.96.140/mvc/SCRIPTS => http://10.129.96.140/mvc/SCRIPTS/
301      GET        2l       10w      158c http://10.129.96.140/ASPNET_CLIENT => http://10.129.96.140/ASPNET_CLIENT/
301      GET        2l       10w      156c http://10.129.96.140/mvc/CONTENT => http://10.129.96.140/mvc/CONTENT/
301      GET        2l       10w      163c http://10.129.96.140/mvc/CONTENT/themes => http://10.129.96.140/mvc/CONTENT/themes/
200      GET        1l      182w     7579c http://10.129.96.140/mvc/CONTENT/css
301      GET        2l       10w      152c http://10.129.96.140/mvc/Obj => http://10.129.96.140/mvc/Obj/
