GroupName,AccountName,AccountType
REMOTE MANAGEMENT USERS@EGOTISTICAL-BANK.LOCAL,SVC_LOANMGR@EGOTISTICAL-BANK.LOCAL,user
DOMAIN USERS@EGOTISTICAL-BANK.LOCAL,SVC_LOANMGR@EGOTISTICAL-BANK.LOCAL,user
REMOTE MANAGEMENT USERS@EGOTISTICAL-BANK.LOCAL,FSMITH@EGOTISTICAL-BANK.LOCAL,user
DOMAIN USERS@EGOTISTICAL-BANK.LOCAL,FSMITH@EGOTISTICAL-BANK.LOCAL,user
DOMAIN USERS@EGOTISTICAL-BANK.LOCAL,HSMITH@EGOTISTICAL-BANK.LOCAL,user
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,KRBTGT@EGOTISTICAL-BANK.LOCAL,user
DOMAIN USERS@EGOTISTICAL-BANK.LOCAL,KRBTGT@EGOTISTICAL-BANK.LOCAL,user
GUESTS@EGOTISTICAL-BANK.LOCAL,GUEST@EGOTISTICAL-BANK.LOCAL,user
DOMAIN GUESTS@EGOTISTICAL-BANK.LOCAL,GUEST@EGOTISTICAL-BANK.LOCAL,user
GROUP POLICY CREATOR OWNERS@EGOTISTICAL-BANK.LOCAL,ADMINISTRATOR@EGOTISTICAL-BANK.LOCAL,user
DOMAIN ADMINS@EGOTISTICAL-BANK.LOCAL,ADMINISTRATOR@EGOTISTICAL-BANK.LOCAL,user
ENTERPRISE ADMINS@EGOTISTICAL-BANK.LOCAL,ADMINISTRATOR@EGOTISTICAL-BANK.LOCAL,user
SCHEMA ADMINS@EGOTISTICAL-BANK.LOCAL,ADMINISTRATOR@EGOTISTICAL-BANK.LOCAL,user
ADMINISTRATORS@EGOTISTICAL-BANK.LOCAL,ADMINISTRATOR@EGOTISTICAL-BANK.LOCAL,user
DOMAIN USERS@EGOTISTICAL-BANK.LOCAL,ADMINISTRATOR@EGOTISTICAL-BANK.LOCAL,user
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,READ-ONLY DOMAIN CONTROLLERS@EGOTISTICAL-BANK.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,GROUP POLICY CREATOR OWNERS@EGOTISTICAL-BANK.LOCAL,group
GUESTS@EGOTISTICAL-BANK.LOCAL,DOMAIN GUESTS@EGOTISTICAL-BANK.LOCAL,group
USERS@EGOTISTICAL-BANK.LOCAL,DOMAIN USERS@EGOTISTICAL-BANK.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,DOMAIN ADMINS@EGOTISTICAL-BANK.LOCAL,group
ADMINISTRATORS@EGOTISTICAL-BANK.LOCAL,DOMAIN ADMINS@EGOTISTICAL-BANK.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,CERT PUBLISHERS@EGOTISTICAL-BANK.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,ENTERPRISE ADMINS@EGOTISTICAL-BANK.LOCAL,group
ADMINISTRATORS@EGOTISTICAL-BANK.LOCAL,ENTERPRISE ADMINS@EGOTISTICAL-BANK.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,SCHEMA ADMINS@EGOTISTICAL-BANK.LOCAL,group
DENIED RODC PASSWORD REPLICATION GROUP@EGOTISTICAL-BANK.LOCAL,DOMAIN CONTROLLERS@EGOTISTICAL-BANK.LOCAL,group
DOMAIN CONTROLLERS@EGOTISTICAL-BANK.LOCAL,SAUNA.EGOTISTICAL-BANK.LOCAL,computer
