200      GET      375l      964w    10918c http://192.168.226.131/
403      GET        9l       28w      280c http://192.168.226.131/.html
403      GET        9l       28w      280c http://192.168.226.131/.htm
301      GET        9l       28w      321c http://192.168.226.131/internal => http://192.168.226.131/internal/
403      GET        9l       28w      280c http://192.168.226.131/internal/.html
403      GET        9l       28w      280c http://192.168.226.131/internal/.htm
403      GET        9l       28w      280c http://192.168.226.131/.htaccess
403      GET        9l       28w      280c http://192.168.226.131/.htc
403      GET        9l       28w      280c http://192.168.226.131/.html_var_DE
401      GET       14l       54w      462c http://192.168.226.131/svn
403      GET        9l       28w      280c http://192.168.226.131/server-status
403      GET        9l       28w      280c http://192.168.226.131/.htpasswd
403      GET        9l       28w      280c http://192.168.226.131/.html.
403      GET        9l       28w      280c http://192.168.226.131/.html.html
403      GET        9l       28w      280c http://192.168.226.131/.htpasswds
403      GET        9l       28w      280c http://192.168.226.131/.htm.
403      GET        9l       28w      280c http://192.168.226.131/.htmll
403      GET        9l       28w      280c http://192.168.226.131/.html.old
403      GET        9l       28w      280c http://192.168.226.131/.ht
403      GET        9l       28w      280c http://192.168.226.131/.html.bak
403      GET        9l       28w      280c http://192.168.226.131/.htm.htm
403      GET        9l       28w      280c http://192.168.226.131/.hta
403      GET        9l       28w      280c http://192.168.226.131/.htgroup
403      GET        9l       28w      280c http://192.168.226.131/.html1
403      GET        9l       28w      280c http://192.168.226.131/.html.printable
403      GET        9l       28w      280c http://192.168.226.131/.html.LCK
403      GET        9l       28w      280c http://192.168.226.131/.htm.LCK
403      GET        9l       28w      280c http://192.168.226.131/.htmls
403      GET        9l       28w      280c http://192.168.226.131/.htaccess.bak
403      GET        9l       28w      280c http://192.168.226.131/.htx
403      GET        9l       28w      280c http://192.168.226.131/.html.php
403      GET        9l       28w      280c http://192.168.226.131/.htm2
403      GET        9l       28w      280c http://192.168.226.131/.htlm
403      GET        9l       28w      280c http://192.168.226.131/.html-
403      GET        9l       28w      280c http://192.168.226.131/.htuser
