200      GET      334l     2089w   180418c http://10.10.221.6/iisstart.png
200      GET       32l       55w      703c http://10.10.221.6/
200      GET      545l     2796w    30515c http://10.10.221.6/retro/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/themes/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/uploads/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/plugins/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/text/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Images/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Images/media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/upgrade/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/css/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/smilies/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Images/smilies/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/Themes/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/blocks/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/Media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Images/Media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/widgets/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/css/dist/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/dist/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/fonts/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/customize/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/IMAGES/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/IMAGES/media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/IMAGES/smilies/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/certificates/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/IMAGES/Media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Fonts/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/text/diff/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Text/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/CSS/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/JS/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/proxy/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/Plugins/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/CSS/dist/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/utility/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/cookie/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/JS/dist/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/Uploads/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/auth/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/transport/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/uploads/2019/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/response/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/uploads/2023/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/tinymce/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Widgets/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/Text/diff/
503      GET        6l       22w      326c http://10.10.221.6/retro/wp-content/uploads/S1.aspx
503      GET        6l       22w      326c http://10.10.221.6/retro/wp-includes/js/festival
503      GET        6l       22w      326c http://10.10.221.6/retro/wp-includes/blocks/2832.aspx
