200      GET      334l     2089w   180418c http://10.10.221.6/iisstart.png
200      GET       32l       55w      703c http://10.10.221.6/
200      GET      545l     2796w    30515c http://10.10.221.6/retro/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/themes/
200      GET        0l        0w        0c http://10.10.221.6/retro/wp-content/plugins/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/css/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/text/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/upgrade/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/uploads/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/media/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/blocks/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/fonts/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/customize/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/widgets/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/tinymce/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/jquery/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/images/smilies/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/dist/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/css/dist/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/thickbox/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/certificates/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/auth/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/text/diff/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/utility/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/proxy/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/simplepie/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/simplepie/cache/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/js/swfupload/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/simplepie/content/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/simplepie/xml/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/response/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/cookie/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-content/uploads/2019/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/requests/transport/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/simplepie/net/
403      GET       29l       92w     1233c http://10.10.221.6/retro/wp-includes/simplepie/http/
